A2006010116333703 002 345044 007 1323315 008  99104430V   5112  6224ìáç™åßêºïî                7K
7130530 260704250 2 16 ///// 00035 N00029 E00033 Z00016 P012P///F012P///F012P///                
7130630 260704290 2 18 ///// 00035 N00035 E00034 Z00015 F015P///F014P///F047P///                
7132030 260704270 2 18 ///// 00051 N00040 E00047 Z00017 F023P///F018P///F066P///                
7133430 260704220 2 16 ///// 00054 N00047 E00047 Z00020 F014P///F017P///F025P///                
7133431 260704240 2 15 ///// 00031 N00029 E00023 Z00014 F014P///F011P///F018P///                
7133530 260704190 2 15 ///// 00078 N00067 E00048 Z00037 F053P///F047P///F112P///                
7133631 260704190 2 16 ///// 00058 N00057 E00035 Z00012 F038P///F034P///F037P///                
7133730 260704110 2 17 ///// 00040 N00039 E00030 Z00039 F011P///F024P///F062P///                
7133731 260704110 2 16 ///// 00056 N00036 E00047 Z00056 F017P///F063P///F065P///                
7133732 260704270 2 15 ///// 00037 N00024 E00036 Z00013 F013P///F013P///F034P///                
7210030 260704298 2 16 ///// 00028 N00027 E00023 Z00008 P008P///P009P///P001P///                
7210031 260704303 2 15 ///// 00036 N00030 E00025 Z00009 P004P///P004P///P008P///                
7210033 260704307 2 21 ///// 00068 N00033 E00067 Z00013 P011P///P006P///P005P///                
7210035 260704326 2 20 ///// 00054 N00035 E00053 Z00008 P007P///P006P///P005P///                
7212130 260704280 2 17 ///// 00036 N00032 E00033 Z00012 P006P///P007P///P005P///                
7212930 260704339 2 18 ///// 00046 N00029 E00037 Z00008 P007P///P006P///P006P///                
7213030 260704343 2 18 ///// 00036 N00036 E00030 Z00007 P008P///P008P///P007P///                
7213031 260704338 2 20 ///// 00042 N00040 E00037 Z00007 P009P///P008P///P011P///                
7213032 260704349 2 20 ///// 00041 N00033 E00030 Z00010 P010P///P008P///P008P///                
7213733 260704330 2 20 ///// 00052 N00051 E00041 Z00007 P007P///P007P///P007P///                
7214030 260704291 2 20 ///// 00059 N00041 E00058 Z00021 P005P///P005P///P002P///                
7214031 260704295 2 20 ///// 00041 N00034 E00040 Z00022 P006P///P010P///P001P///                
7310131 260704360 2 15 ///// 00024 N00018 E00024 Z00004 F011P///F011P///F019P///                
7401130 260704070 2 16 ///// 00057 N00050 E00051 Z00051 P///P///P///P///P///P///                
7401200 260704069 2 19 04212 00095 N00081 E00065 Z00046 F034F034F031F031F023F023                
7401231 260704210 2 15 ///// 00055 N00048 E00044 Z00017 P///P///P///P///P///P///                
7410331 260704280 2 21 ///// 00064 N00046 E00063 Z00019 P///P///P///P///P///P///                
7410332 260704280 2 19 ///// 00074 N00029 E00072 Z00017 P///P///P///P///P///P///                
7410431 260704220 2 15 ///// 00055 N00055 E00028 Z00015 P///P///P///P///P///P///                
7410432 260704230 2 15 ///// 00044 N00044 E00024 Z00013 P///P///P///P///P///P///                
7410433 260704100 2 18 ///// 00052 N00035 E00044 Z00036 P///P///P///P///P///P///                
7410532 260704220 2 15 ///// 00043 N00042 E00030 Z00015 P///P///P///P///P///P///                
7410630 260704290 2 17 ///// 00037 N00036 E00025 Z00012 P///P///P///P///P///P///                
7412230 260704260 2 15 ///// 00033 N00026 E00029 Z00021 P///P///P///P///P///P///                
7412330 260704290 2 16 ///// 00047 N00046 E00027 Z00012 P///P///P///P///P///P///                
7413631 260704190 2 15 ///// 00034 N00033 E00020 Z00010 P///P///P///P///P///P///                
7413930 260704250 2 18 ///// 00044 N00034 E00034 Z00019 P///P///P///P///P///P///                
7414730 260704270 2 15 ///// 00031 N00030 E00025 Z00018 P///P///P///P///P///P///                
7414800 260704123 2 20 04289 00049 N00049 E00042 Z00014 F017F017F021F018F016F016                
7414830 260704320 2 16 ///// 00033 N00032 E00026 Z00010 P///P///P///P///P///P///                
7414832 260704280 2 16 ///// 00040 N00028 E00037 Z00020 P///P///P///P///P///P///                
7414930 260704080 2 15 ///// 00054 N00042 E00041 Z00053 P///P///P///P///P///P///                
7414931 260704060 2 22 ///// 00164 N00104 E00143 Z00136 P///P///P///P///P///P///                
7415130 260704240 2 17 ///// 00048 N00033 E00048 Z00010 P///P///P///P///P///P///                
7415230 260704100 2 23 ///// 00090 N00068 E00086 Z00048 P///P///P///P///P///P///                
7415231 260704240 2 15 ///// 00041 N00040 E00018 Z00012 P///P///P///P///P///P///                
7415330 260704070 2 16 ///// 00038 N00000 E00000 Z00000 P///P///P///P///P///P///                
7415371 260704103 2 17 04270 00044 N00027 E00042 Z00038 P011P011F010P011F059F013                
7415660 260704280 2 21 ///// 00066 N00057 E00049 Z00014 P///P///P///P///P///P///                
7420000 260704161 2 17 04408 00053 N00044 E00045 Z00032 F027F033F016F016F066F015                
7432034 260704390 2 20 ///// 00056 N00049 E00029 Z00007 P///P///P///P///P///P///                
7500000 260704034 2 17 04137 00105 N00104 E00090 Z00045 F026F026F086F086F110F026                
7500020 260704017 2 21 04111 00159 N00154 E00118 Z00088 F036F036F063F037F082F034                
7500030 260704011 2 19 04117 00171 N00105 E00134 Z00036 P004P004P004P004P003P004                
7500031 260704008 2 22 04113 00251 N00180 E00214 Z00064 P002P002P001P001P003P003                
7500220 260704028 2 21 04110 00206 N00101 E00199 Z00069 F024F024F059F059F272F021                
7500230 260704013 2 23 04102 00173 N00172 E00086 Z00067 P003P003P008P008P005P005                
7500231 260703598 2 22 04091 00151 N00141 E00077 Z00058 P007P007P005P005P002P006                
7510031 260704010 2 23 04102 00229 N00213 E00194 Z00086 P006P008P006P006P005P005                
7510100 260704009 2 24 04096 00185 N00154 E00154 Z00053 F021F021F024F024F015F015                
7510130 260703594 2 24 04083 00145 N00110 E00139 Z00100 P006P006P005P005P001P006                
7510330 260703595 2 19 04078 00152 N00093 E00149 Z00077 P006P006P009P009P009P009                
7511120 260704105 2 20 04223 00062 N00054 E00054 Z00020 F018F018F019F019F018F016                
7511131 260704017 2 22 04130 00192 N00120 E00176 Z00057 P005P005P006P006P005P005                
7511132 260704032 2 19 04205 00052 N00049 E00035 Z00030 P006P006P008P008P006P006                
7520021 260704134 2 15 04145 00094 N00052 E00092 Z00035 F021F020F031F017F243F022                
7520033 260704019 2 22 04124 00162 N00159 E00106 Z00086 P003P003P005P005P003P005                
7521800 260704021 2 24 04127 00202 N00178 E00180 Z00038 F042F042F030F030F021F021                
7521831 260704035 2 21 04138 00220 N00153 E00206 Z00051 P001P001P001P001P004P005                
7521832 260704027 2 22 04136 00147 N00116 E00144 Z00054 P004P004P005P005P002P002                
7530121 260704028 2 19 04147 00123 N00103 E00113 Z00040 F129F129F134F133F022F022                
7530130 260704034 2 23 04139 00177 N00154 E00140 Z00101 P008P008P002P002P003P003                
7600020 260704081 2 20 04248 00077 N00071 E00058 Z00045 F025F025F027F026F024F027                
7600032 260704160 2 17 ///// 00093 N00071 E00078 Z00026 P///P///P///P///P///P///                
7600230 260704160 2 17 ///// 00048 N00044 E00047 Z00028 P///P///P///P///P///P///                
7600330 260704340 2 20 ///// 00080 N00048 E00064 Z00026 P///P///P///P///P///P///                
7600620 260704122 2 16 04315 00062 N00061 E00055 Z00025 F104F101F104F110F156F023                
7610920 260704104 2 17 04108 00083 N00081 E00044 Z00047 F083F027F071F025F070F025                
7610930 260704100 2 17 ///// 00095 N00063 E00068 Z00068 P///P///P///P///P///P///                
7611000 260704059 2 23 04191 00126 N00125 E00104 Z00060 F035F034F031F031F062F040                
7611020 260704082 2 21 04194 00181 N00130 E00127 Z00089 F032F031F032F036F032F032                
7611230 260704180 2 17 ///// 00109 N00100 E00074 Z00033 P///P///P///P///P///P///                
7620020 260704183 2 17 04521 00038 N00034 E00036 Z00018 F014F014F017F017F026F033                
7620030 260704430 2 15 ///// 00031 N00025 E00027 Z00015 P///P///P///P///P///P///                
7620131 260704580 2 17 ///// 00037 N00031 E00029 Z00009 P///P///P///P///P///P///                
7630132 260704180 2 16 ///// 00063 N00047 E00040 Z00062 P///P///P///P///P///P///                
7631030 260704400 2 16 ///// 00039 N00029 E00031 Z00021 P///P///P///P///P///P///                
7706030 260704410 2 19 ///// 00049 N00048 E00045 Z00013 P///P///P///P///P///P///                
4320430 260705459 1 08 ///// 00015 N00014 E00007 Z00003 P006P///P006P///P006P///                
4600020 260705424 1 10 05427 00016 N00011 E00015 Z00005 F015F015F015F015F015F015                
5300000 260705127 1 13 05283 00018 N00017 E00015 Z00004 P011P011F010F010F015F019                
5300030 260705170 1 08 05355 00012 N00008 E00011 Z00003 P009P///P009P///P006P///                
5300032 260705150 1 08 05156 00015 N00012 E00010 Z00004 P006P///P006P///P006P///                
5311400 260705128 1 05 05139 00013 N00011 E00010 Z00006 F018F018F030F017F014F012                
5320100 260704532 1 10 04567 00024 N00022 E00023 Z00007 F023F023F020F020F064F033                
5320320 260704534 1 12 05091 00029 N00029 E00019 Z00012 F014F014F011F011F028F028                
5321530 260704270 1 12 04576 00029 N00029 E00022 Z00014 P005P///P003P///P001P///                
5322620 260704566 1 11 04581 00027 N00025 E00018 Z00010 F020F019F019F019F027F027                
5322630 260704580 1 07 04590 00021 N00016 E00015 Z00007 P005P///P008P///P004P///                
5322631 260704570 1 06 04576 00014 N00012 E00011 Z00007 P008P///P005P///P004P///                
5322632 260704560 1 11 05140 00024 N00023 E00015 Z00007 P004P///P004P///P002P///                
5351100 260704581 1 09 05083 00022 N00019 E00019 Z00004 F031F031F031F031F067F018                
5351130 260705070 1 08 05095 00015 N00015 E00014 Z00009 P006P///P003P///P006P///                
5351131 260704340 1 09 04348 00028 N00018 E00013 Z00028 P008P///P004P///P001P///                
5351230 260705100 1 14 05191 00025 N00019 E00024 Z00009 P006P///P007P///P009P///                
5500130 260705040 1 05 ///// 00017 N00013 E00013 Z00008 F018P///F018P///F054P///                
5500300 260705002 1 06 05018 00013 N00011 E00011 Z00005 F016F016F015F015F038F040                
5501930 260705020 1 06 ///// 00023 N00021 E00022 Z00014 F037P///F040P///F057P///                
5502430 260705170 1 06 ///// 00010 N00008 E00010 Z00007 F014P///F012P///F054P///                
5503330 260705230 1 05 ///// 00011 N00006 E00010 Z00002 F014P///F014P///F015P///                
5503431 260705050 1 08 ///// 00022 N00017 E00021 Z00005 F020P///F016P///F051P///                
5503530 260705010 1 12 ///// 00035 N00034 E00027 Z00014 F038P///F039P///F039P///                
5600020 260705037 1 12 05051 00021 N00017 E00019 Z00009 F011F012F015F014F013F014                
5600021 260705011 1 12 05047 00024 N00022 E00022 Z00008 F013F013F015F015F022F030                
5600036 260705024 1 14 ///// 00032 N00032 E00025 Z00005 P006P///P005P///P005P///                
5600037 260705030 1 12 ///// 00023 N00022 E00016 Z00013 P008P///P007P///P004P///                
5601530 260705044 1 06 ///// 00021 N00020 E00016 Z00005 P002P///P005P///P007P///                
5620020 260704566 1 09 04576 00028 N00027 E00019 Z00005 F024F030F017F016F017F017                
5620030 260704554 1 14 ///// 00032 N00028 E00032 Z00009 P006P///P004P///P004P///                
5621130 260705016 1 14 ///// 00029 N00018 E00025 Z00009 P011P///P007P///P007P///                
5621131 260705016 1 07 ///// 00016 N00015 E00009 Z00003 P005P///P005P///P004P///                
5621231 260704580 1 12 ///// 00027 N00019 E00027 Z00006 P005P///P004P///P005P///                
5630130 260704539 1 13 ///// 00026 N00016 E00024 Z00011 P013P///P005P///P006P///                
5631020 260704468 1 05 04472 00031 N00022 E00023 Z00008 F110F100F094F102F034F034                
5631030 260704466 1 07 ///// 00034 N00022 E00034 Z00010 P001P///P001P///P004P///                
5631430 260704506 1 08 ///// 00022 N00020 E00022 Z00007 P002P///P002P///P004P///                
5631431 260704511 1 11 ///// 00031 N00020 E00025 Z00010 P005P///P003P///P004P///                
5631530 260704519 1 12 ///// 00035 N00025 E00021 Z00015 P005P///P006P///P004P///                
5631531 260704511 1 12 ///// 00035 N00035 E00022 Z00014 P003P///P005P///P003P///                
5700000 260704504 1 07 04521 00016 N00012 E00014 Z00007 F028F028F019F019F020F026                
5700020 260704510 1 13 05086 00025 N00021 E00021 Z00006 F017F017F017F017F025F025                
5700030 260704517 1 14 ///// 00026 N00016 E00024 Z00005 P006P///P006P///P007P///                
5700035 260704502 1 12 ///// 00033 N00029 E00028 Z00011 P004P///P004P///P003P///                
5700100 260704465 1 11 04484 00023 N00014 E00021 Z00010 F011F011P010F010F016F016                
5700120 260704457 1 12 04459 00028 N00016 E00027 Z00015 F029F010F031F011F030F015                
5700130 260704491 1 12 ///// 00026 N00026 E00020 Z00010 P006P///P006P///P003P///                
5700220 260704491 1 08 ///// 00016 N00014 E00011 Z00004 F018F015F016F016F019F017                
5700230 260704530 1 11 ///// 00025 N00017 E00019 Z00011 P010P///P006P///P004P///                
5700240 260704513 1 09 ///// 00023 N00019 E00022 Z00004 P002P///P006P///P008P///                
5702900 260704403 1 10 04468 00030 N00020 E00028 Z00007 F022F022F020F020F025F132                
5702934 260704413 1 12 ///// 00077 N00049 E00061 Z00016 P002P///P002P///P004P///                
5710032 260704341 1 10 ///// 00041 N00034 E00037 Z00009 P002P///P002P///P002P///                
5710100 260704078 1 11 04222 00032 N00028 E00027 Z00025 F027F027F038F038F055F023                
5710120 260704253 1 08 04265 00019 N00017 E00016 Z00011 F032F031F022F025F016F021                
5710131 260704267 1 14 ///// 00052 N00041 E00045 Z00014 P004P///P003P///P007P///                
5711931 260704239 1 10 ///// 00040 N00024 E00031 Z00015 P003P///P004P///P003P///                
5712320 260704370 1 12 04381 00060 N00050 E00056 Z00020 F057F056F048F048F090F098                
5712331 260704381 1 12 ///// 00046 N00031 E00044 Z00015 P002P///P002P///P001P///                
5712420 260704137 1 14 04318 00119 N00108 E00081 Z00058 F138F137F054F054F124F124                
5712430 260704336 1 13 ///// 00092 N00090 E00092 Z00025 P001P///P001P///P001P///                
5712431 260704330 1 12 ///// 00056 N00039 E00048 Z00013 P002P///P002P///P002P///                
5712530 260704209 1 11 ///// 00044 N00036 E00044 Z00017 P001P///P001P///P001P///                
5800033 260704537 1 07 04556 00025 N00015 E00024 Z00012 P003P003P003P003P005P002                
5800034 260704393 1 08 04523 00059 N00032 E00057 Z00015 P001P001P001P001P004P004                
5800100 260704290 1 05 04447 00041 N00028 E00041 Z00025 F148F148F151F151F215F303                
5800120 260704216 1 09 04459 00073 N00069 E00048 Z00018 F120F120F137F119F145F059                
5800130 260704319 1 07 04471 00045 N00028 E00041 Z00011 P006P006P002P002P003P003                
5800133 260704306 1 07 04413 00059 N00028 E00056 Z00011 P005P005P001P001P004P004                
5800134 260704306 1 13 04436 00048 N00043 E00044 Z00016 P002P002P002P002P006P006                
5802030 260704453 1 06 04534 00033 N00025 E00030 Z00015 P003P003P003P003P005P001                
5802033 260704465 1 09 04561 00028 N00027 E00020 Z00026 P003P003P003P003P001P001                
5803631 260704322 1 07 04504 00038 N00029 E00036 Z00014 P002P002P001P001P002P002                
5803632 260704499 1 08 ///// 00058 N///// E///// Z///// P///P///P///P///P///P///                
5803720 260704233 1 12 04475 00064 N00049 E00053 Z00035 F052F052F085F046F140F141                
5803730 260704349 1 07 04454 00040 N00030 E00039 Z00018 P004P004P003P003P003P003                
5803732 260704230 1 12 04489 00052 N00041 E00049 Z00021 P003P004P003P003P003P000                
5803735 260704217 1 11 04476 00061 N00045 E00059 Z00013 P001P001P001P001P006P000                
5803736 260704499 1 10 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
5803834 260704270 1 11 04559 00072 N00050 E00067 Z00020 P001P001P001P001P001P000                
5810120 260704400 1 13 04436 00044 N00037 E00039 Z00020 F024F020F024F016F019F021                
5810121 260704185 1 11 04401 00070 N00062 E00064 Z00038 F082F084F062F061F146F149                
5810130 260704294 1 12 04411 00049 N00041 E00048 Z00021 P004P004P005P005P001P001                
5810320 260704355 1 08 04366 00048 N00035 E00047 Z00015 F125F065F093F067F112F019                
5810433 260704383 1 05 04400 00025 N00022 E00017 Z00012 P008P008P002P002P006P002                
5810434 260704329 1 06 04359 00029 N00024 E00023 Z00012 P007P007P007P007P005P008                
5810530 260704317 1 08 04430 00045 N00044 E00040 Z00019 P004P004P004P004P003P003                
5810531 260704393 1 10 04432 00035 N00028 E00029 Z00014 P003P003P004P004P006P003                
5810533 260704406 1 09 04432 00033 N00025 E00032 Z00014 P004P004P004P004P008P008                
5810620 260704419 1 08 04452 00054 N00044 E00048 Z00032 F077F077F075F075F138F138                
5810630 260704327 1 09 04450 00032 N00027 E00028 Z00016 P007P007P004P004P004P001                
5810632 260704304 1 08 04415 00037 N00032 E00031 Z00012 P005P005P006P006P006P006                
5810633 260704337 1 05 04394 00054 N00031 E00053 Z00011 P006P006P009P009P008P004                
5810634 260704264 1 06 04389 00034 N00030 E00026 Z00012 P001P001P001P001P004P001                
5810700 260704237 1 08 04503 00035 N00032 E00032 Z00031 F121F121F024F024F152F073                
5810730 260704447 1 14 04523 00044 N00041 E00021 Z00015 P003P003P004P004P008P008                
5811930 260704499 1 12 ///// 00042 N///// E///// Z///// P///P///P///P///P///P///                
5814231 260704439 1 09 ///// 00031 N///// E///// Z///// P///P///P///P///P///P///                
5814332 260704443 1 14 04462 00045 N00039 E00030 Z00011 P004P004P004P004P005P002                
5814400 260704379 1 14 04492 00042 N00035 E00030 Z00027 F018F018F018F018F101F101                
5814430 260704373 1 08 04490 00067 N00063 E00056 Z00032 P006P006P004P004P009P001                
5814431 260704488 1 12 04516 00045 N00042 E00042 Z00020 P005P005P004P004P004P003                
5814432 260704499 1 05 04518 00038 N00036 E00033 Z00009 P001P001P001P001P005P004                
5814500 260704259 1 12 04373 00055 N00051 E00046 Z00023 F120F041F030F035F119F065                
5814531 260704244 1 09 04367 00037 N00033 E00036 Z00022 P003P003P005P005P006P006                
5814532 260704358 1 11 04379 00026 N00023 E00025 Z00018 P004P006P005P005P002P001                
5814600 260704434 1 11 04460 00027 N00015 E00027 Z00008 F033F032F025F025F034F035                
5814630 260704343 1 12 04446 00036 N00021 E00035 Z00018 P008P008P006P006P001P003                
5814631 260704215 1 11 04486 00044 N00036 E00031 Z00031 P002P002P002P002P001P001                
5814632 260704353 1 07 04491 00031 N00027 E00030 Z00021 P002P002P002P002P003P003                
5900000 260704146 1 14 04345 00056 N00050 E00040 Z00024 F017F017F022F022F022F022                
5900020 260704151 1 14 04344 00088 N00084 E00073 Z00031 F089F089F110F111F051F051                
5900021 260704341 1 07 04363 00046 N00040 E00045 Z00014 F187F187F111F025F028F028                
5900031 260704339 1 09 ///// 00046 N///// E///// Z///// P///P///P///P///P///P///                
5900032 260704329 1 11 ///// 00048 N///// E///// Z///// P///P///P///P///P///P///                
5900033 260704337 1 08 ///// 00034 N///// E///// Z///// P///P///P///P///P///P///                
5900034 260704332 1 08 ///// 00033 N///// E///// Z///// P///P///P///P///P///P///                
5900035 260704327 1 14 ///// 00066 N///// E///// Z///// P///P///P///P///P///P///                
5900036 260704334 1 12 ///// 00065 N///// E///// Z///// P///P///P///P///P///P///                
5900037 260704301 1 14 ///// 00060 N///// E///// Z///// P///P///P///P///P///P///                
5900130 260704352 1 12 ///// 00059 N///// E///// Z///// P///P///P///P///P///P///                
5900131 260704349 1 08 ///// 00048 N///// E///// Z///// P///P///P///P///P///P///                
5900132 260704380 1 07 ///// 00027 N///// E///// Z///// P///P///P///P///P///P///                
5900133 260704394 1 07 ///// 00041 N///// E///// Z///// P///P///P///P///P///P///                
5900134 260704362 1 05 ///// 00020 N///// E///// Z///// P///P///P///P///P///P///                
5900135 260704375 1 10 ///// 00050 N///// E///// Z///// P///P///P///P///P///P///                
5903631 260704270 1 13 ///// 00052 N///// E///// Z///// P///P///P///P///P///P///                
5903633 260704304 1 12 ///// 00076 N///// E///// Z///// P///P///P///P///P///P///                
5903730 260704249 1 10 ///// 00046 N///// E///// Z///// P///P///P///P///P///P///                
5903731 260704090 1 09 ///// 00022 N///// E///// Z///// P///P///P///P///P///P///                
5903830 260704284 1 07 ///// 00038 N///// E///// Z///// P///P///P///P///P///P///                
5903831 260704294 1 12 ///// 00062 N///// E///// Z///// P///P///P///P///P///P///                
5910220 260704296 1 11 04308 00055 N00045 E00043 Z00016 F029F029F031F031F029F029                
5910231 260704303 1 14 ///// 00071 N///// E///// Z///// P///P///P///P///P///P///                
5910435 260704330 1 14 ///// 00051 N///// E///// Z///// P///P///P///P///P///P///                
5910436 260704313 1 14 ///// 00056 N///// E///// Z///// P///P///P///P///P///P///                
5910500 260704150 1 11 04345 00050 N00044 E00048 Z00023 F039F039F056F056F067F067                
5910531 260704337 1 05 ///// 00023 N///// E///// Z///// P///P///P///P///P///P///                
5912832 260704296 1 13 ///// 00081 N///// E///// Z///// P///P///P///P///P///P///                
5913430 260704370 1 11 ///// 00070 N///// E///// Z///// P///P///P///P///P///P///                
5913431 260704365 1 10 ///// 00061 N///// E///// Z///// P///P///P///P///P///P///                
5913433 260704357 1 08 ///// 00046 N///// E///// Z///// P///P///P///P///P///P///                
5920130 260704237 1 13 ///// 00065 N///// E///// Z///// P///P///P///P///P///P///                
5920731 260704081 1 14 ///// 00044 N///// E///// Z///// P///P///P///P///P///P///                
5921134 260704179 1 14 ///// 00055 N///// E///// Z///// P///P///P///P///P///P///                
6000001 260704417 1 13 05048 00027 N00023 E00020 Z00012 F023F023F021F021F014F014                
6000730 260704510 1 13 ///// 00039 N///// E///// Z///// P///P///P///P///P///P///                
6003400 260704459 1 14 04563 00034 N00027 E00023 Z00011 F026F026F025F025F015F015                
6003500 260704417 1 10 04433 00032 N00021 E00024 Z00015 F016F016F038F038F013F013                
6003520 260704432 1 06 04439 00029 N00025 E00028 Z00014 F085F064F085F060F119F111                
6003720 260704458 1 09 04588 00020 N00019 E00014 Z00008 F019F019F030F018P011F009                
6003800 260704310 1 11 04354 00038 N00028 E00027 Z00013 F020F020F016F016F020F020                
6003820 260704354 1 11 04362 00039 N00026 E00033 Z00017 F011F010F015F015F020F020                
6003931 260704400 1 13 ///// 00031 N///// E///// Z///// P///P///P///P///P///P///                
6010000 260704417 1 10 05055 00021 N00020 E00014 Z00007 F021F021F021F020F058F140                
6010020 260704497 1 06 04513 00025 N00016 E00024 Z00006 F055F055F050F050F068F022                
6011220 260704454 1 10 04491 00025 N00024 E00018 Z00008 F018F018F027F025F019F018                
6011720 260704237 1 09 04241 00025 N00021 E00021 Z00024 F040F036F027F030F075F075                
6100000 260704195 1 12 04425 00059 N00039 E00057 Z00018 F024F024F065F065F021F016                
6100030 260704420 1 11 ///// 00045 N00035 E00029 Z00021 P003P007P006P007P004P004                
6100031 260704420 1 07 ///// 00047 N00046 E00032 Z00014 P006P001P002P001P005P004                
6100032 260704440 1 14 ///// 00046 N00037 E00038 Z00021 P005P004P005P004P002P001                
6100035 260704410 1 14 ///// 00040 N00035 E00038 Z00013 P006P006P007P007P004P004                
6100200 260704430 1 08 04591 00023 N00020 E00019 Z00015 F026F026F031F031F059F059                
6101020 260704508 1 08 04592 00024 N00012 E00022 Z00006 F030F028F030F031F083F075                
6101230 260704440 1 12 ///// 00048 N00023 E00047 Z00015 P003P004P004P004P002P002                
6101920 260704440 1 13 04444 00058 N00046 E00050 Z00021 F062F061F060F037F018F037                
6101931 260704550 1 09 ///// 00032 N00032 E00024 Z00012 P002P002P003P002P006P001                
6101934 260704440 1 14 ///// 00062 N00034 E00061 Z00021 P004P004P005P004P003P001                
6102020 260704485 1 07 04497 00034 N00032 E00027 Z00012 F043F042F055F042F097F096                
6110031 260704380 1 10 ///// 00043 N00037 E00039 Z00022 P003P001P003P004P003P001                
6110100 260704187 1 09 04413 00034 N00033 E00030 Z00018 F024F024F096F096F044P205                
6110130 260704390 1 12 ///// 00052 N00051 E00038 Z00023 P007P001P002P007P003P004                
6110230 260704360 1 11 ///// 00042 N00039 E00039 Z00013 P003P004P003P004P003P002                
6110930 260704380 1 13 ///// 00069 N00064 E00037 Z00025 P002P004P005P004P002P002                
6111230 260704370 1 14 ///// 00061 N00052 E00047 Z00029 P005P004P005P004P003P004                
6112435 260704340 1 13 ///// 00035 N00034 E00027 Z00019 P006P004P005P004P002P002                
6112436 260704350 1 14 ///// 00055 N00047 E00052 Z00020 P003P004P003P004P002P002                
6112531 260704370 1 12 ///// 00059 N00053 E00041 Z00021 P009P004P002P001P004P006                
6112532 260704370 1 14 ///// 00064 N00057 E00056 Z00014 P002P002P002P002P002P001                
6112631 260704390 1 13 ///// 00080 N00071 E00080 Z00027 P002P001P002P001P001P001                
6200037 260704260 1 14 04272 00100 N00092 E00070 Z00041 P004P///P002P///P004P///                
6200120 260704258 1 10 04271 00098 N00096 E00086 Z00037 F208F207F086F201F208F201                
6202631 260704270 1 12 04281 00051 N00037 E00028 Z00042 P005P///P005P///P002P///                
6202632 260704280 1 13 04291 00060 N00057 E00047 Z00040 P001P///P006P///P006P///                
6202730 260704280 1 12 04287 00066 N00046 E00055 Z00034 P001P///P002P///P003P///                
6211620 260704194 1 13 04203 00114 N00083 E00107 Z00022 F029F029F209F209F028F028                
6211631 260704200 1 13 04213 00093 N00062 E00089 Z00024 P003P///P002P///P003P///                
6211632 260704150 1 09 04156 00035 N00027 E00033 Z00018 P006P///P006P///P005P///                
6300020 260704329 1 13 04595 00033 N00026 E00026 Z00009 F023F027F023F024F054F035                
6300100 260704156 1 13 04360 00061 N00059 E00054 Z00028 F038F038F038F038F127F013                
6300120 260704352 1 12 04360 00077 N00075 E00061 Z00019 F102F016F092F017F102F019                
6300330 260704380 1 08 ///// 00017 N00016 E00015 Z00008 P009P///P009P///P005P///                
6300430 260704380 1 10 ///// 00020 N00019 E00019 Z00011 P005P///P009P///P005P///                
6300830 260704340 1 08 ///// 00023 N00020 E00022 Z00011 P003P///P003P///P005P///                
6310031 260704280 1 07 ///// 00034 N00033 E00033 Z00017 P001P///P002P///P003P///                
6310032 260704290 1 09 ///// 00074 N00033 E00073 Z00033 P002P///P002P///P001P///                
6310033 260704280 1 10 ///// 00030 N00028 E00026 Z00013 P002P///P002P///P002P///                
6310130 260704310 1 11 ///// 00031 N00026 E00028 Z00016 P009P///P008P///P005P///                
6310300 260704085 1 07 04239 00053 N00038 E00044 Z00019 F062F062F059F059F062F062                
6311230 260704300 1 13 ///// 00104 N00074 E00101 Z00036 P001P///P002P///P002P///                
6311330 260704330 1 08 ///// 00036 N00028 E00029 Z00012 P001P///P001P///P001P///                
6311630 260704290 1 13 ///// 00078 N00067 E00071 Z00041 P003P///P002P///P001P///                
6311730 260704290 1 12 ///// 00046 N00046 E00041 Z00029 P002P///P002P///P002P///                
6312530 260704240 1 11 ///// 00082 N00058 E00060 Z00040 P003P///P001P///P001P///                
6312920 260704253 1 14 04261 00136 N00130 E00117 Z00037 F167F168F181F178F062F062                
6312931 260704270 1 06 ///// 00024 N00022 E00018 Z00011 P001P///P002P///P003P///                
6313130 260704220 1 12 ///// 00089 N00060 E00083 Z00031 P001P///P001P///P001P///                
6313131 260704220 1 13 ///// 00047 N00042 E00047 Z00021 P002P///P002P///P002P///                
6313132 260704220 1 09 ///// 00038 N00036 E00037 Z00017 P003P///P003P///P002P///                
6313232 260704400 1 06 ///// 00037 N00023 E00033 Z00011 P003P///P001P///P001P///                
6313233 260704340 1 14 ///// 00035 N00027 E00033 Z00014 P004P///P004P///P001P///                
6313234 260704320 1 08 ///// 00034 N00033 E00028 Z00010 P003P///P002P///P002P///                
6313301 260704255 1 07 04363 00024 N00023 E00016 Z00009 F012F012F044F029F043F085                
6313320 260704314 1 06 04317 00029 N00025 E00023 Z00010 F099F099F035F035F072F073                
6313330 260704310 1 10 ///// 00027 N00023 E00020 Z00015 P004P///P004P///P002P///                
6313331 260704380 1 07 ///// 00023 N00021 E00019 Z00016 P001P///P002P///P002P///                
6313332 260704360 1 12 ///// 00036 N00027 E00036 Z00015 P003P///P001P///P007P///                
6320201 260704066 1 09 04206 00053 N00043 E00051 Z00023 F019F019F082F082F131F021                
